isbn,title,author,title-original,series,series-original,entry,language,version
9781072730033,Dragon Oracle Omnibus,Jada Fisher,,Dragon Oracle,,1-3,English,physical
9781405917650,Dreamwalker,James Oswald,,The Ballad of Sir Benfro,,1,English,physical
9781408883358,The Priority of the Orange Tree,Samantha Shannon,,The Roots of Chaos,,1,English,physical
9781509879502,The Ruin of Kings,Jenn Lyons,,A Chorus of Dragons,,1,English,physical
9781564148681,Dragonlore: From the Archives of the Grey School of Wizardry,Ashley Dekirk,,,,,English,physical
9781502711434,Dawn of Dragons: The Complete Trilogy,Daniel Arenson,,Dawn of Dragons,,1-3,English,physical
9788409284337,Into the Territory of Dragons,Juan Arrabal Hern�ndez,,,,,English,physical
9781626928855,"Dragon Goes House-Hunting, Vol. 1",Kawo Tanuki,,Dragon Goes House-Hunting,,1,English,physical
9781626929791,"Dragon Goes House-Hunting, Vol. 2",Kawo Tanuki,,Dragon Goes House-Hunting,,2,English,physical
9781642750928,"Dragon Goes House-Hunting, Vol. 3",Kawo Tanuki,,Dragon Goes House-Hunting,,3,English,physical
9789490767020,Gebonden in Duister,Kim ten Tusscher,,Lilith,,1,Dutch,physical
9789460860188,Verbroken in Schemer,Kim ten Tusscher,,Lilith,,2,Dutch,physical
9789490767037,Geboren in Licht,Kim ten Tusscher,,Lilith,,3,Dutch,physical
9789024562541,Drakenkoningin,An Janssens,,Draken-trilogie,,1,Dutch,physical
9789024567768,Drakenvuur,An Janssens,,Draken-trilogie,,2,Dutch,physical
9789024564743,Drakentovenaar,An Janssens,,Draken-trilogie,,3,Dutch,physical
9789026158063,Het oneindige verhaal,Michael Ende,Die unendliche geschichte,,,,Dutch,physical
9789491300806,Zij Die Hoort,Patty van Delft,,Drägan Duma,,1,Dutch,physical
9789491300912,Bondgenoten & Verraders,Patty van Delft,,Drägan Duma,,2,Dutch,physical
9789491300974,Het Zwarte Kristal,Patty van Delft,,Drägan Duma,,3,Dutch,physical
9789493158221,Een Onbreekbare Band,Patty van Delft,,Drägan Duma,,4,Dutch,physical
9780099477464,Brave New World,Aldous Huxley,,,,,English,physical
9781789095319,Axiom's End,Lindsay Ellis,,Noumena,,1,English,physical
9781101965481,"A Song of Ice and Fire, Leather-Cloth Boxed Set ",George R.R. Martin,,A Song of Ice and Fire,,1-5,English,physical
9780307930675,"The Inheritance Cycle, 4-Book Hard Cover Boxed Set",Christopher Paolini,,The Inheritance Cycle,,1-4,English,physical
9789030580607,Minecraft: Redstone Handboek,Nick Farwell,Minecraft: Redstone Handbook,Minecraft Handboeken,Minecraft Handbooks,,Dutch,physical
9789030580270,Minecraft: Combat Handboek,Stephanie Milton,Minecraft: Combat Handbook,Minecraft Handboeken,Minecraft Handbooks,,Dutch,physical
9789030580379,Minecraft: Constructie Handboek,Matthew Needler,Minecraft: Construction Handbook,Minecraft Handboeken,Minecraft Handbooks,,Dutch,physical
9789026125690,Logboek van Bram Botermans,Jeff Kinney,Diary of a Wimpy Kid,Het leven van een Loser,Diary of a Wimpy Kid,1,Dutch,physical
9789026127830,Vette pech!,Jeff Kinney,Rodrick Rules,Het leven van een Loser,Diary of a Wimpy Kid,2,Dutch,physical
9789026195396,Bekijk het maar!,Jeff Kinney,The Last Straw,Het leven van een Loser,Diary of a Wimpy Kid,3,Dutch,physical
9789026132360,Een hondenleven,Jeff Kinney,Dog Days,Het leven van een Loser,Diary of a Wimpy Kid,4,Dutch,physical
9789026132377,Niet te doen!,Jeff Kinney,The Ugly Truth,Het leven van een Loser,Diary of a Wimpy Kid,5,Dutch,physical
